,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
0,중계4동,백석1동,127.0780091,37.6587275,126.7925109,37.6496787,중계4동백석1동,37080,3146.939,36630
1,풍납2동,백석1동,127.1157686,37.5292584,126.7925109,37.6496787,풍납2동백석1동,56926,4095.957,53470
2,홍은제2동,백석1동,126.9342509,37.5801972,126.7925109,37.6496787,홍은제2동백석1동,23184,2821.303,22630
3,방화제2동,백석1동,126.8067549,37.5666997,126.7925109,37.6496787,방화제2동백석1동,12425,1632.809,14130
4,등촌제2동,백석1동,126.8625,37.542658,126.7925109,37.6496787,등촌제2동백석1동,17307,2551.466,19830
5,당산제2동,백석1동,126.8973273,37.5310483,126.7925109,37.6496787,당산제2동백석1동,20084,2426.937,20430
6,독산제3동,백석1동,126.9032524,37.4751198,126.7925109,37.6496787,독산제3동백석1동,32252,4790.081,32450
7,대조동,백석1동,126.920813,37.614165,126.7925109,37.6496787,대조동백석1동,15624,2176.322,16810
8,진관동,백석1동,126.9210512,37.634983,126.7925109,37.6496787,진관동백석1동,18055,1767.664,19610
9,불광제2동,백석1동,126.9257389,37.6208567,126.7925109,37.6496787,불광제2동백석1동,20274,2178.134,21870
10,원효로제1동,백석1동,126.9676811,37.5372185,126.7925109,37.6496787,원효로제1동백석1동,24034,3417.532,26030
11,삼성1동,백석1동,127.062532,37.5144424,126.7925109,37.6496787,삼성1동백석1동,60954,4533.233,56770
12,갈현제2동,백석1동,126.9158385,37.6185866,126.7925109,37.6496787,갈현제2동백석1동,15262,2028.777,16390
13,녹번동,백석1동,126.9298245,37.6021944,126.7925109,37.6496787,녹번동백석1동,23395,2661.359,22830
14,마천1동,백석1동,127.1499724,37.4960195,126.7925109,37.6496787,마천1동백석1동,58512,5089.819,56850
15,삼각산동,백석1동,127.0207209,37.6151568,126.7925109,37.6496787,삼각산동백석1동,33766,3992.633,31250
16,화곡제8동,백석1동,126.848335,37.5326541,126.7925109,37.6496787,화곡제8동백석1동,18492,2802.146,21030
17,화곡본동,백석1동,126.847725,37.544075,126.7925109,37.6496787,화곡본동백석1동,16956,2423.65,19330
18,홍제제1동,백석1동,126.9448779,37.5876988,126.7925109,37.6496787,홍제제1동백석1동,24155,3022.655,24550
19,평창동,백석1동,126.9681871,37.6063166,126.7925109,37.6496787,평창동백석1동,20377,3142.823,23810
20,노량진제1동,백석1동,126.942013,37.512308,126.7925109,37.6496787,노량진제1동백석1동,26246,3204.457,25650
21,신길제4동,백석1동,126.9112884,37.5084555,126.7925109,37.6496787,신길제4동백석1동,23686,3188.85,24850
22,옥수동,백석1동,127.0134622,37.5436386,126.7925109,37.6496787,옥수동백석1동,30226,5117.77,33530
23,신사제2동,백석1동,126.9084195,37.5902796,126.7925109,37.6496787,신사제2동백석1동,16219,1754.772,17790
24,연남동,백석1동,126.922027,37.564501,126.7925109,37.6496787,연남동백석1동,18818,2519.463,19730
25,오금동,백석1동,126.9138,37.6674,126.7925109,37.6496787,오금동백석1동,16009,1692.385,15600
26,금호4가동,백석1동,127.02241,37.5471987,126.7925109,37.6496787,금호4가동백석1동,32175,5749.26,36730
27,망원제2동,백석1동,126.9023578,37.5602495,126.7925109,37.6496787,망원제2동백석1동,17090,2091.833,18030
28,청운효자동,일산1동,126.9706519,37.5841367,126.7686386,37.6872246,청운효자동일산1동,23830,4244.053,28310
29,등촌제3동,일산1동,126.847881,37.5589789,126.7686386,37.6872246,등촌제3동일산1동,24742,3229.945,27010
30,중계2.3동,일산1동,127.0687126,37.6421829,126.7686386,37.6872246,중계2.3동일산1동,40887,4031.245,40610
31,성현동,일산1동,126.9481271,37.4895366,126.7686386,37.6872246,성현동일산1동,36910,4789.367,37710
32,가양제3동,일산1동,126.8605955,37.561092,126.7686386,37.6872246,가양제3동일산1동,24285,2646.472,26610
33,송중동,일산1동,127.033738,37.616099,126.7686386,37.6872246,송중동일산1동,41634,4949.283,39210
34,종로1.2.3.4가동,일산1동,126.9902618,37.574461,126.7686386,37.6872246,종로1.2.3.4가동일산1동,34693,4649.457,36990
35,필동,일산1동,126.9955699,37.5601529,126.7686386,37.6872246,필동일산1동,36247,5314.818,40090
36,장위제2동,일산1동,127.0545206,37.6123899,126.7686386,37.6872246,장위제2동일산1동,42604,5053.868,41110
37,금호1가동,일산1동,127.0216354,37.5549008,126.7686386,37.6872246,금호1가동일산1동,41669,6297.711,46530
38,종로5.6가동,일산1동,127.0050414,37.5720148,126.7686386,37.6872246,종로5.6가동일산1동,35911,5198.885,39290
39,문래동,일산1동,126.899466,37.517086,126.7686386,37.6872246,문래동일산1동,32004,4007.789,33230
40,소공동,일산1동,126.977025,37.562442,126.7686386,37.6872246,소공동일산1동,34160,4563.925,36890
41,응암제1동,일산1동,126.926813,37.6006884,126.7686386,37.6872246,응암제1동일산1동,17814,3082.637,20210
42,반포3동,일산1동,127.0056289,37.5120925,126.7686386,37.6872246,반포3동일산1동,36600,6023.273,40210
43,대치4동,일산1동,127.0579127,37.4997415,126.7686386,37.6872246,대치4동일산1동,65042,6571.368,62850
44,청운효자동,후암동,126.9706519,37.5841367,126.9781344,37.5486375,청운효자동후암동,5519,1256.021,7900
45,영등포동,후암동,126.9106918,37.5203985,126.9781344,37.5486375,영등포동후암동,11242,1512.808,11600
46,성산제2동,후암동,126.9090061,37.568618,126.9781344,37.5486375,성산제2동후암동,9061,1621.377,10500
47,왕십리도선동,후암동,127.0255501,37.5678257,126.9781344,37.5486375,왕십리도선동후암동,6325,1348.15,7800
48,개봉제2동,후암동,126.8565584,37.4908359,126.9781344,37.5486375,개봉제2동후암동,14929,3025.066,16400
49,가양제1동,후암동,126.8447099,37.5695239,126.9781344,37.5486375,가양제1동후암동,19274,2301.5,18100
50,내곡동,후암동,127.0583103,37.4493583,126.9781344,37.5486375,내곡동후암동,18380,3322.13,18700
51,역촌동,후암동,126.915114,37.6044046,126.9781344,37.5486375,역촌동후암동,10206,2078.87,12300
52,명동,후암동,126.98585,37.560042,126.9781344,37.5486375,명동후암동,2302,475.656,4000
53,방학제2동,후암동,127.0351005,37.6681842,126.9781344,37.5486375,방학제2동후암동,28661,3761.134,26500
54,신길제6동,후암동,126.919437,37.498535,126.9781344,37.5486375,신길제6동후암동,9119,1549.164,10100
55,역삼1동,후암동,127.0333574,37.4954841,126.9781344,37.5486375,역삼1동후암동,12629,2616.365,14800
