,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
0,여의동,황학동,126.934584,37.5177232,127.0212812,37.5673446,여의동황학동,12742,2327.073,14400
1,안암동,황학동,127.0213292,37.5858498,127.0212812,37.5673446,안암동황학동,2417,642.427,4500
2,삼선동,황학동,127.0146297,37.5908326,127.0212812,37.5673446,삼선동황학동,3794,856.906,5900
3,오류제2동,황학동,126.8395371,37.4888016,127.0212812,37.5673446,오류제2동황학동,21611,4519.402,26100
4,왕십리도선동,황학동,127.0255501,37.5678257,127.0212812,37.5673446,왕십리도선동황학동,540,200.73,3800
5,신설동,황학동,127.0255251,37.5749343,127.0212812,37.5673446,신설동황학동,1641,568.727,3800
6,이촌제1동,황학동,126.9732,37.5214167,127.0212812,37.5673446,이촌제1동황학동,10347,1744.41,12200
7,가양제2동,황학동,126.8512826,37.5673763,127.0212812,37.5673446,가양제2동황학동,28455,4059.641,28200
8,용두동,황학동,127.0372011,37.5758884,127.0212812,37.5673446,용두동황학동,2584,645.692,4800
9,방화제3동,황학동,126.8135628,37.5787386,127.0212812,37.5673446,방화제3동황학동,26838,4209.791,25800
10,황학동,황학동,127.0212812,37.5673446,127.0212812,37.5673446,황학동황학동,0,0.0,0
11,청량리동,황학동,127.0472767,37.5862586,127.0212812,37.5673446,청량리동황학동,4349,897.609,6400
12,신내1동,황학동,127.099538,37.605882,127.0212812,37.5673446,신내1동황학동,9847,2091.214,12000
13,갈현제1동,황학동,126.916675,37.623707,127.0212812,37.5673446,갈현제1동황학동,14426,3457.347,17600
14,월계3동,황학동,127.0692485,37.6210475,127.0212812,37.5673446,월계3동황학동,9295,1499.82,10700
15,응암제2동,황학동,126.9230926,37.5946071,127.0212812,37.5673446,응암제2동황학동,12040,2548.543,15200
16,논현2동,황학동,127.037213,37.517342,127.0212812,37.5673446,논현2동황학동,7042,2320.21,10000
17,진관동,황학동,126.9210512,37.634983,127.0212812,37.5673446,진관동황학동,15860,3711.698,19800
18,휘경제2동,황학동,127.0685788,37.5902093,127.0212812,37.5673446,휘경제2동황학동,5862,1240.446,8300
19,화양동,황학동,127.0713152,37.5465421,127.0212812,37.5673446,화양동황학동,5799,1233.93,7500
20,구의제3동,황학동,127.0920204,37.5380706,127.0212812,37.5673446,구의제3동황학동,10656,1882.73,12400
21,금호1가동,황학동,127.0216354,37.5549008,127.0212812,37.5673446,금호1가동황학동,2660,733.584,4800
22,인수동,황학동,127.0106307,37.6415105,127.0212812,37.5673446,인수동황학동,11867,2051.993,13700
23,자양제1동,황학동,127.082438,37.534508,127.0212812,37.5673446,자양제1동황학동,9799,1787.095,11700
24,이화동,황학동,127.004338,37.577008,127.0212812,37.5673446,이화동황학동,3449,1387.172,5800
25,사근동,황학동,127.0453315,37.5614846,127.0212812,37.5673446,사근동황학동,2921,925.371,5500
26,회기동,방화제2동,127.0553132,37.5908083,126.8067549,37.5666997,회기동방화제2동,30892,4322.816,27800
27,상봉제1동,방화제2동,127.0872004,37.5998799,126.8067549,37.5666997,상봉제1동방화제2동,36929,5047.185,32100
28,여의동,방화제2동,126.934584,37.5177232,126.8067549,37.5666997,여의동방화제2동,16554,2562.071,16300
29,구의제1동,방화제2동,127.0856756,37.5424917,126.8067549,37.5666997,구의제1동방화제2동,45313,5082.826,39000
30,가산동,방화제2동,126.8917326,37.4769094,126.8067549,37.5666997,가산동방화제2동,13652,4140.774,23750
31,영등포동,방화제2동,126.9106918,37.5203985,126.8067549,37.5666997,영등포동방화제2동,14850,2109.623,14200
32,남가좌제1동,방화제2동,126.9197232,37.573295,126.8067549,37.5666997,남가좌제1동방화제2동,15607,2146.002,15300
33,능동,방화제2동,127.0804994,37.5537803,126.8067549,37.5666997,능동방화제2동,38515,5693.656,37150
34,일원1동,방화제2동,127.0879629,37.491839,126.8067549,37.5666997,일원1동방화제2동,37675,5958.372,36200
35,등촌제3동,방화제2동,126.847881,37.5589789,126.8067549,37.5666997,등촌제3동방화제2동,4547,938.056,6300
36,하계1동,방화제2동,127.0725852,37.6405374,126.8067549,37.5666997,하계1동방화제2동,46030,3956.699,44830
37,방학제1동,방화제2동,127.0407251,37.6641763,126.8067549,37.5666997,방학제1동방화제2동,43653,3600.762,41910
38,장지동,방화제2동,127.1354,37.4785,126.8067549,37.5666997,장지동방화제2동,40552,6093.558,43130
39,중계2.3동,방화제2동,127.0687126,37.6421829,126.8067549,37.5666997,중계2.3동방화제2동,46206,3959.381,44110
40,가락본동,방화제2동,127.1217864,37.4955568,126.8067549,37.5666997,가락본동방화제2동,37449,5879.907,34800
41,고척제1동,방화제2동,126.8628603,37.5004631,126.8067549,37.5666997,고척제1동방화제2동,10482,1993.901,12200
42,성현동,방화제2동,126.9481271,37.4895366,126.8067549,37.5666997,성현동방화제2동,20730,3195.145,20100
43,목1동,방화제2동,126.8712323,37.5303777,126.8067549,37.5666997,목1동방화제2동,9246,1531.62,11300
44,연희동,방화제2동,126.9351754,37.5739083,126.8067549,37.5666997,연희동방화제2동,17243,2821.316,18100
45,성산제2동,방화제2동,126.9090061,37.568618,126.8067549,37.5666997,성산제2동방화제2동,14461,2063.912,13900
46,오류제2동,방화제2동,126.8395371,37.4888016,126.8067549,37.5666997,오류제2동방화제2동,11556,2027.581,14950
47,상암동,방화제2동,126.8946875,37.578325,126.8067549,37.5666997,상암동방화제2동,11292,2147.992,14390
48,가양제1동,방화제2동,126.8447099,37.5695239,126.8067549,37.5666997,가양제1동방화제2동,4614,963.003,6700
49,월계2동,방화제2동,127.0508,37.6325377,126.8067549,37.5666997,월계2동방화제2동,32705,4521.005,29800
50,신대방제2동,방화제2동,126.9244085,37.4984422,126.8067549,37.5666997,신대방제2동방화제2동,20303,3031.949,18700
51,화곡제3동,방화제2동,126.8384231,37.5425392,126.8067549,37.5666997,화곡제3동방화제2동,5313,1028.915,7300
52,길음제1동,방화제2동,127.0193925,37.6104856,126.8067549,37.5666997,길음제1동방화제2동,29226,3654.825,25000
53,역촌동,방화제2동,126.915114,37.6044046,126.8067549,37.5666997,역촌동방화제2동,17270,2416.988,17000
54,가양제3동,방화제2동,126.8605955,37.561092,126.8067549,37.5666997,가양제3동방화제2동,6043,1270.942,8200
55,명동,방화제2동,126.98585,37.560042,126.8067549,37.5666997,명동방화제2동,23776,3692.773,23800
56,방학제2동,방화제2동,127.0351005,37.6681842,126.8067549,37.5666997,방학제2동방화제2동,43247,3574.22,42230
57,발산제1동,방화제2동,126.8331686,37.5531209,126.8067549,37.5666997,발산제1동방화제2동,3807,890.913,5700
58,장안제2동,방화제2동,127.0706,37.578483,126.8067549,37.5666997,장안제2동방화제2동,34852,4880.874,32200
59,방배2동,방화제2동,126.9855106,37.4797439,126.8067549,37.5666997,방배2동방화제2동,24175,3807.037,24500
60,역삼1동,방화제2동,127.0333574,37.4954841,126.8067549,37.5666997,역삼1동방화제2동,26892,5165.225,28500
61,이촌제1동,방화제2동,126.9732,37.5214167,126.8067549,37.5666997,이촌제1동방화제2동,21112,3419.416,20200
62,수궁동,방화제2동,126.8314627,37.4939422,126.8067549,37.5666997,수궁동방화제2동,10304,1812.855,13430
63,가양제2동,방화제2동,126.8512826,37.5673763,126.8067549,37.5666997,가양제2동방화제2동,4903,1024.113,7200
64,신내2동,방화제2동,127.0942306,37.6061896,126.8067549,37.5666997,신내2동방화제2동,34846,5041.889,32800
65,공릉1.3동,방화제2동,127.073838,37.624874,126.8067549,37.5666997,공릉1.3동방화제2동,33057,4668.221,30400
66,수서동,방화제2동,127.104929,37.4889181,126.8067549,37.5666997,수서동방화제2동,35928,5640.995,33300
67,응암제3동,방화제2동,126.9157268,37.5922474,126.8067549,37.5666997,응암제3동방화제2동,16061,2287.104,15900
68,양평제1동,방화제2동,126.888238,37.52365,126.8067549,37.5666997,양평제1동방화제2동,14387,2307.008,13800
69,방화제3동,방화제2동,126.8135628,37.5787386,126.8067549,37.5666997,방화제3동방화제2동,1806,558.595,3800
70,잠원동,방화제2동,127.0140771,37.5149619,126.8067549,37.5666997,잠원동방화제2동,25589,4284.825,24800
71,신사동,방화제2동,127.0227814,37.5240101,126.8067549,37.5666997,신사동방화제2동,26880,4533.058,25800
72,번제1동,방화제2동,127.0288473,37.6378913,126.8067549,37.5666997,번제1동방화제2동,31688,4277.746,28200
73,개봉제1동,방화제2동,126.8511255,37.5003318,126.8067549,37.5666997,개봉제1동방화제2동,8956,1772.391,10800
74,황학동,방화제2동,127.0212812,37.5673446,126.8067549,37.5666997,황학동방화제2동,27435,5143.301,30400
75,홍제제3동,방화제2동,126.9496737,37.5938295,126.8067549,37.5666997,홍제제3동방화제2동,19250,2434.824,17400
76,신월1동,방화제2동,126.831487,37.532808,126.8067549,37.5666997,신월1동방화제2동,4866,777.652,6200
77,방이2동,방화제2동,127.1114868,37.5164444,126.8067549,37.5666997,방이2동방화제2동,37750,5368.35,33500
78,대방동,방화제2동,126.92635,37.508133,126.8067549,37.5666997,대방동방화제2동,17477,2634.992,17300
79,화곡제6동,방화제2동,126.8501301,37.5518173,126.8067549,37.5666997,화곡제6동방화제2동,5545,1681.841,8000
80,길동,방화제2동,127.1426791,37.5345598,126.8067549,37.5666997,길동방화제2동,39182,5682.747,35500
81,천호제2동,방화제2동,127.1254351,37.5435257,126.8067549,37.5666997,천호제2동방화제2동,39344,5408.172,35200
82,신월7동,방화제2동,126.8346571,37.5219343,126.8067549,37.5666997,신월7동방화제2동,6697,1213.284,8000
83,수색동,방화제2동,126.8936659,37.5835192,126.8067549,37.5666997,수색동방화제2동,11261,1956.14,14190
84,시흥제5동,방화제2동,126.908294,37.4523912,126.8067549,37.5666997,시흥제5동방화제2동,24573,3188.082,26710
85,신정2동,방화제2동,126.870679,37.5192314,126.8067549,37.5666997,신정2동방화제2동,9835,1916.262,12100
86,신정3동,방화제2동,126.8547892,37.5151685,126.8067549,37.5666997,신정3동방화제2동,8907,1540.439,10800
87,묵제1동,방화제2동,127.0784729,37.6123734,126.8067549,37.5666997,묵제1동방화제2동,33314,4558.581,29400
88,시흥제1동,방화제2동,126.9032625,37.4535411,126.8067549,37.5666997,시흥제1동방화제2동,23757,2902.774,24970
89,신월4동,방화제2동,126.8401341,37.5246218,126.8067549,37.5666997,신월4동방화제2동,6849,1225.011,8100
90,목3동,방화제2동,126.8644431,37.5448009,126.8067549,37.5666997,목3동방화제2동,11753,1760.439,12400
91,염창동,방화제2동,126.8709777,37.553751,126.8067549,37.5666997,염창동방화제2동,10807,1534.919,11000
92,일원본동,방화제2동,127.0864633,37.4833484,126.8067549,37.5666997,일원본동방화제2동,36860,5918.177,35100
93,회현동,방화제2동,126.9793216,37.5572864,126.8067549,37.5666997,회현동방화제2동,24140,4362.196,25700
94,광희동,방화제2동,127.0050623,37.564494,126.8067549,37.5666997,광희동방화제2동,26583,4945.462,29300
95,신내1동,방화제2동,127.099538,37.605882,126.8067549,37.5666997,신내1동방화제2동,35214,5130.018,33100
96,구로제4동,방화제2동,126.8891697,37.4916271,126.8067549,37.5666997,구로제4동방화제2동,13174,2897.957,17300
97,공항동,방화제2동,126.8101437,37.5588296,126.8067549,37.5666997,공항동방화제2동,1558,467.996,3800
98,신촌동,방화제2동,126.9418114,37.5640923,126.8067549,37.5666997,신촌동방화제2동,18793,2801.34,18000
99,신정4동,방화제2동,126.8558042,37.5245455,126.8067549,37.5666997,신정4동방화제2동,7782,1504.147,9400
100,양평제2동,방화제2동,126.8939535,37.5364739,126.8067549,37.5666997,양평제2동방화제2동,12563,1894.63,12600
101,월곡제1동,방화제2동,127.0357574,37.6105472,126.8067549,37.5666997,월곡제1동방화제2동,28890,3652.368,24700
102,신월3동,방화제2동,126.8291541,37.5336234,126.8067549,37.5666997,신월3동방화제2동,4850,783.475,6100
103,신정7동,방화제2동,126.8597007,37.514393,126.8067549,37.5666997,신정7동방화제2동,9963,1846.809,11600
104,중계4동,방화제2동,127.0780091,37.6587275,126.8067549,37.5666997,중계4동방화제2동,44923,3800.909,43430
105,시흥제2동,방화제2동,126.9148345,37.4495487,126.8067549,37.5666997,시흥제2동방화제2동,24838,3299.405,27030
106,남영동,방화제2동,126.9748403,37.5457586,126.8067549,37.5666997,남영동방화제2동,20929,3060.169,20300
107,상도제4동,방화제2동,126.941422,37.4994203,126.8067549,37.5666997,상도제4동방화제2동,21863,3264.656,20900
108,성수2가제3동,방화제2동,127.0552645,37.5482223,126.8067549,37.5666997,성수2가제3동방화제2동,30340,5227.5,30400
109,월계3동,방화제2동,127.0692485,37.6210475,126.8067549,37.5666997,월계3동방화제2동,31791,4237.671,28400
110,응암제2동,방화제2동,126.9230926,37.5946071,126.8067549,37.5666997,응암제2동방화제2동,21042,2503.346,18900
111,암사제1동,방화제2동,127.132663,37.551508,126.8067549,37.5666997,암사제1동방화제2동,38971,5337.237,35000
112,논현2동,방화제2동,127.037213,37.517342,126.8067549,37.5666997,논현2동방화제2동,29316,5558.653,27400
113,우장산동,방화제2동,126.8418849,37.5482468,126.8067549,37.5666997,우장산동방화제2동,5214,1146.114,7400
114,화곡제1동,방화제2동,126.841562,37.530408,126.8067549,37.5666997,화곡제1동방화제2동,5834,979.16,7100
115,신도림동,방화제2동,126.8805826,37.5077664,126.8067549,37.5666997,신도림동방화제2동,12184,2463.738,14500
116,신수동,방화제2동,126.9351878,37.5471182,126.8067549,37.5666997,신수동방화제2동,16593,2405.382,15600
117,방화제2동,방화제2동,126.8067549,37.5666997,126.8067549,37.5666997,방화제2동방화제2동,0,0.0,0
118,등촌제2동,방화제2동,126.8625,37.542658,126.8067549,37.5666997,등촌제2동방화제2동,9514,1692.614,11700
119,후암동,방화제2동,126.9781344,37.5486375,126.8067549,37.5666997,후암동방화제2동,21544,3268.113,20900
120,독산제1동,방화제2동,126.897041,37.4702453,126.8067549,37.5666997,독산제1동방화제2동,25393,3314.548,27430
121,가락2동,방화제2동,127.1266714,37.4987054,126.8067549,37.5666997,가락2동방화제2동,38063,6068.235,36100
122,불광제1동,방화제2동,126.9320747,37.6103876,126.8067549,37.5666997,불광제1동방화제2동,21124,2652.98,18800
123,대조동,방화제2동,126.920813,37.614165,126.8067549,37.5666997,대조동방화제2동,18978,2716.564,21130
124,공릉2동,방화제2동,127.083488,37.621332,126.8067549,37.5666997,공릉2동방화제2동,33418,4624.871,29500
