,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
0,성산제1동,일원1동,126.90785,37.5634083,127.0879629,37.491839,성산제1동일원1동,26610,2963.951,22400
1,반포4동,일원1동,127.0003853,37.4974314,127.0879629,37.491839,반포4동일원1동,11186,1950.518,12000
2,월계3동,일원1동,127.0692485,37.6210475,127.0879629,37.491839,월계3동일원1동,22588,1719.547,19300
3,압구정동,일원1동,127.030713,37.530642,127.0879629,37.491839,압구정동일원1동,9712,1687.149,10100
4,삼양동,일원1동,127.0197725,37.6250518,127.0879629,37.491839,삼양동일원1동,23020,2242.687,20600
5,암사제1동,일원1동,127.132663,37.551508,127.0879629,37.491839,암사제1동일원1동,10258,1550.217,10700
6,풍납2동,일원1동,127.1157686,37.5292584,127.0879629,37.491839,풍납2동일원1동,7567,1089.563,8400
7,목4동,일원1동,126.86835,37.532425,127.0879629,37.491839,목4동일원1동,28399,3157.809,24900
8,화곡제1동,일원1동,126.841562,37.530408,127.0879629,37.491839,화곡제1동일원1동,30328,2733.992,25700
9,방화제2동,일원1동,126.8067549,37.5666997,127.0879629,37.491839,방화제2동일원1동,35356,3427.312,29500
10,독산제1동,일원1동,126.897041,37.4702453,127.0879629,37.491839,독산제1동일원1동,23483,2169.68,21450
11,신림동,일원1동,126.927075,37.487426,127.0879629,37.491839,신림동일원1동,19157,1907.81,18250
12,미아동,일원1동,127.0269791,37.6270736,127.0879629,37.491839,미아동일원1동,22470,2182.282,19700
13,가락2동,일원1동,127.1266714,37.4987054,127.0879629,37.491839,가락2동일원1동,4143,625.383,5400
14,불광제1동,일원1동,126.9320747,37.6103876,127.0879629,37.491839,불광제1동일원1동,31847,2903.213,26700
15,진관동,일원1동,126.9210512,37.634983,127.0879629,37.491839,진관동일원1동,33868,3267.527,29300
16,면목본동,일원1동,127.0874227,37.5873592,127.0879629,37.491839,면목본동일원1동,20222,2012.764,17600
17,공릉2동,일원1동,127.083488,37.621332,127.0879629,37.491839,공릉2동일원1동,24178,2155.536,20600
18,시흥제4동,일원1동,126.9061924,37.459029,127.0879629,37.491839,시흥제4동일원1동,22109,1957.834,20350
19,불광제2동,일원1동,126.9257389,37.6208567,127.0879629,37.491839,불광제2동일원1동,32512,3044.833,28200
20,노량진제2동,일원1동,126.937352,37.508509,127.0879629,37.491839,노량진제2동일원1동,20326,2201.271,19950
21,고덕제2동,일원1동,127.16435,37.5605,127.0879629,37.491839,고덕제2동일원1동,12435,1734.683,13770
22,구로제5동,일원1동,126.8892945,37.5001593,127.0879629,37.491839,구로제5동일원1동,23183,2495.03,21650
23,용답동,일원1동,127.0555515,37.5640618,127.0879629,37.491839,용답동일원1동,16904,1665.043,15000
24,화양동,일원1동,127.0713152,37.5465421,127.0879629,37.491839,화양동일원1동,9281,1211.8,9300
25,삼성1동,일원1동,127.062532,37.5144424,127.0879629,37.491839,삼성1동일원1동,6096,1028.447,7000
26,미성동,일원1동,126.9155534,37.4761761,127.0879629,37.491839,미성동일원1동,19751,2018.476,18850
27,정릉제2동,일원1동,127.0111047,37.6044729,127.0879629,37.491839,정릉제2동일원1동,21890,2129.849,19000
28,녹번동,일원1동,126.9298245,37.6021944,127.0879629,37.491839,녹번동일원1동,30820,2735.621,25700
29,마천1동,일원1동,127.1499724,37.4960195,127.0879629,37.491839,마천1동일원1동,7069,1319.729,8800
30,서초2동,일원1동,127.02496,37.49208,127.0879629,37.491839,서초2동일원1동,7873,2017.301,11000
31,원효로제2동,일원1동,126.951538,37.53435,127.0879629,37.491839,원효로제2동일원1동,20126,2582.452,18100
32,중화제1동,일원1동,127.080623,37.6011745,127.0879629,37.491839,중화제1동일원1동,21994,1872.853,18900
33,신월5동,일원1동,126.8271621,37.5386227,127.0879629,37.491839,신월5동일원1동,30717,2726.769,26000
34,방배1동,일원1동,126.9945569,37.4832801,127.0879629,37.491839,방배1동일원1동,11936,1802.536,12400
35,상계5동,일원1동,127.069498,37.6627392,127.0879629,37.491839,상계5동일원1동,29585,2625.665,25000
36,서교동,일원1동,126.914588,37.5551015,127.0879629,37.491839,서교동일원1동,25582,2765.287,21600
