,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
2479,명일제2동,강일동,127.1513427,37.546366,127.173909,37.5649783,명일제2동강일동,4296,726.346,5600
2480,이태원제1동,천연동,126.9950384,37.5325225,126.9590332,37.5711247,이태원제1동천연동,6749,1521.168,9100
2481,상봉제2동,구의제2동,127.0808518,37.592892,127.0899111,37.5472481,상봉제2동구의제2동,6387,1393.022,9000
2482,답십리제1동,면목제4동,127.0512678,37.5717963,127.0855775,37.5746736,답십리제1동면목제4동,3654,754.219,5400
2483,홍은제1동,반포4동,126.9471111,37.5989056,127.0003853,37.4974314,홍은제1동반포4동,21050,2971.998,19000
2484,서빙고동,양재2동,126.994663,37.520458,127.041188,37.470601,서빙고동양재2동,12091,2372.831,15700
2485,화곡제3동,목5동,126.8384231,37.5425392,126.8816206,37.5371201,화곡제3동목5동,5725,1111.706,6600
2486,금호1가동,구로제2동,127.0216354,37.5549008,126.8834703,37.491377,금호1가동구로제2동,17352,4283.73,23800
2487,고덕제1동,신길제4동,127.1515382,37.5572593,126.9112884,37.5084555,고덕제1동신길제4동,29994,4101.87,28900
2488,신내1동,길음제1동,127.099538,37.605882,127.0193925,37.6104856,신내1동길음제1동,10338,2290.664,12600
2489,회현동,송내1동,126.9793216,37.5572864,126.7789446,37.4824389,회현동송내1동,32279,5052.948,32770
2490,구로제2동,방화제3동,126.8834703,37.491377,126.8135628,37.5787386,구로제2동방화제3동,16161,3202.652,19100
2491,서림동,청룡동,126.9349995,37.4749956,126.9416518,37.4791304,서림동청룡동,905,262.031,3800
2492,화곡제4동,목1동,126.8609068,37.5346476,126.8712323,37.5303777,화곡제4동목1동,1646,434.537,3800
2493,신당제3동,반포4동,127.0090022,37.552479,127.0003853,37.4974314,신당제3동반포4동,9764,2060.874,12500
2494,창제2동,홍은제1동,127.0356387,37.6414033,126.9471111,37.5989056,창제2동홍은제1동,12589,2292.775,13300
2495,창제2동,군자동,127.0356387,37.6414033,127.0753494,37.5554853,창제2동군자동,14097,1948.913,14900
2496,정릉제3동,구미동,127.004186,37.6089578,127.1226373,37.3402542,정릉제3동구미동,45284,4831.095,40450
2497,석촌동,풍납2동,127.1037,37.503592,127.1157686,37.5292584,석촌동풍납2동,4472,1261.402,6700
2498,목3동,여의동,126.8644431,37.5448009,126.934584,37.5177232,목3동여의동,8929,1138.75,9600
2499,상암동,성수1가제1동,126.8946875,37.578325,127.04965,37.542108,상암동성수1가제1동,21521,3600.796,20700
2500,가양제3동,구의제3동,126.8605955,37.561092,127.0920204,37.5380706,가양제3동구의제3동,29846,3486.577,26500
