,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
0,공덕동,고척제2동,126.960025,37.550192,126.8587122,37.5067055,공덕동고척제2동,12058,3068.035,15800
1,구로제2동,고척제2동,126.8834703,37.491377,126.8587122,37.5067055,구로제2동고척제2동,4096,1535.639,6900
2,원효로제2동,고척제2동,126.951538,37.53435,126.8587122,37.5067055,원효로제2동고척제2동,15024,2379.365,14800
3,중화제1동,고척제2동,127.080623,37.6011745,126.8587122,37.5067055,중화제1동고척제2동,29018,3738.444,27000
4,신월5동,고척제2동,126.8271621,37.5386227,126.8587122,37.5067055,신월5동고척제2동,5566,1191.855,7800
5,남현동,고척제2동,126.9778366,37.4745394,126.8587122,37.5067055,남현동고척제2동,15030,2850.555,17700
6,행운동,고척제2동,126.9570456,37.4806541,126.8587122,37.5067055,행운동고척제2동,12715,2325.496,14300
7,신정6동,고척제2동,126.8644471,37.5170414,126.8587122,37.5067055,신정6동고척제2동,1828,460.969,3800
8,사당제1동,고척제2동,126.9786682,37.4830639,126.8587122,37.5067055,사당제1동고척제2동,15278,2892.778,17200
9,화곡제2동,고척제2동,126.854613,37.531817,126.8587122,37.5067055,화곡제2동고척제2동,3663,783.927,5100
10,도곡1동,고척제2동,127.0390246,37.488238,126.8587122,37.5067055,도곡1동고척제2동,19022,4080.04,22100
11,왕십리제2동,고척제2동,127.0310207,37.5617987,126.8587122,37.5067055,왕십리제2동고척제2동,29991,3694.957,26200
12,상봉제1동,회천2동,127.0872004,37.5998799,127.0466905,37.8216048,상봉제1동회천2동,34665,2639.365,33470
13,세곡동,회천2동,127.1043555,37.4643683,127.0466905,37.8216048,세곡동회천2동,55499,4525.363,51810
14,발산제1동,회천2동,126.8331686,37.5531209,127.0466905,37.8216048,발산제1동회천2동,48341,4872.317,47710
15,쌍문제1동,회천2동,127.0261145,37.6480275,127.0466905,37.8216048,쌍문제1동회천2동,28596,2528.979,27670
16,길동,회천2동,127.1426791,37.5345598,127.0466905,37.8216048,길동회천2동,43697,3060.2,41110
17,남가좌제2동,회천2동,126.9238889,37.5784658,127.0466905,37.8216048,남가좌제2동회천2동,33855,4319.506,33510
18,미아동,회천2동,127.0269791,37.6270736,127.0466905,37.8216048,미아동회천2동,30458,2989.179,29470
19,삼각산동,회천2동,127.0207209,37.6151568,127.0466905,37.8216048,삼각산동회천2동,32600,3564.505,32870
20,상계5동,회천2동,127.069498,37.6627392,127.0466905,37.8216048,상계5동회천2동,25432,1951.685,24770
21,종로5.6가동,회천2동,127.0050414,37.5720148,127.0466905,37.8216048,종로5.6가동회천2동,40058,5045.947,38870
22,이화동,회천2동,127.004338,37.577008,127.0466905,37.8216048,이화동회천2동,36829,4504.631,37470
23,상봉제1동,중화제1동,127.0872004,37.5998799,127.080623,37.6011745,상봉제1동중화제1동,905,314.259,3800
24,여의동,중화제1동,126.934584,37.5177232,127.080623,37.6011745,여의동중화제1동,22741,3448.149,20400
25,영등포동,중화제1동,126.9106918,37.5203985,127.080623,37.6011745,영등포동중화제1동,25761,3925.067,22900
26,하계1동,중화제1동,127.0725852,37.6405374,127.080623,37.6011745,하계1동중화제1동,5347,1081.69,7100
27,상봉제2동,중화제1동,127.0808518,37.592892,127.080623,37.6011745,상봉제2동중화제1동,1085,339.673,3800
28,은천동,중화제1동,126.9424278,37.4853086,127.080623,37.6011745,은천동중화제1동,23339,3808.958,21400
