,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
0,장위제1동,회기동,127.0437129,37.6141245,127.0553132,37.5908083,장위제1동회기동,4289,755.651,5700
1,면목제7동,상계1동,127.0869854,37.5789945,127.0549781,37.6799006,면목제7동상계1동,14493,2378.026,15000
2,정릉제3동,수유제3동,127.004186,37.6089578,127.023125,37.638715,정릉제3동수유제3동,4869,1095.06,7000
3,고척제2동,은천동,126.8587122,37.5067055,126.9424278,37.4853086,고척제2동은천동,10247,1988.266,11800
4,회기동,장위제2동,127.0553132,37.5908083,127.0545206,37.6123899,회기동장위제2동,3778,1187.631,6600
5,도화동,심곡본1동,126.9498798,37.5415123,126.7789446,37.4824389,도화동심곡본1동,21819,3591.821,24670
6,상봉제1동,신내2동,127.0872004,37.5998799,127.0942306,37.6061896,상봉제1동신내2동,1234,323.163,3800
7,여의동,돈암제2동,126.934584,37.5177232,127.0105659,37.598039,여의동돈암제2동,17076,2659.24,16500
8,구의제1동,능동,127.0856756,37.5424917,127.0804994,37.5537803,구의제1동능동,2462,567.197,4200
9,청운효자동,행당제1동,126.9706519,37.5841367,127.036188,37.558567,청운효자동행당제1동,15953,2596.674,18000
10,가산동,구로제4동,126.8917326,37.4769094,126.8891697,37.4916271,가산동구로제4동,2510,839.095,4700
11,영등포동,철산3동,126.9106918,37.5203985,126.8724885,37.4771336,영등포동철산3동,9204,1549.458,9610
12,남가좌제1동,남가좌제2동,126.9197232,37.573295,126.9238889,37.5784658,남가좌제1동남가좌제2동,1251,310.197,3800
13,가산동,한강로동,126.8917326,37.4769094,126.9692332,37.5281071,가산동한강로동,11654,2197.655,13600
14,능동,석관동,127.0804994,37.5537803,127.061413,37.612957,능동석관동,7878,1378.493,8900
15,일원1동,월곡제2동,127.0879629,37.491839,127.0478758,37.6057667,일원1동월곡제2동,19238,3856.694,21200
16,이태원제1동,신당제1동,126.9950384,37.5325225,127.0145478,37.5620973,이태원제1동신당제1동,5021,908.747,6900
17,등촌제3동,등촌제3동,126.847881,37.5589789,126.847881,37.5589789,등촌제3동등촌제3동,0,0.0,0
18,석관동,중계2.3동,127.061413,37.612957,127.0687126,37.6421829,석관동중계2.3동,6184,990.13,8000
19,하계1동,상봉제1동,127.0725852,37.6405374,127.0872004,37.5998799,하계1동상봉제1동,6044,1130.614,7500
20,상봉제2동,상봉제1동,127.0808518,37.592892,127.0872004,37.5998799,상봉제2동상봉제1동,1338,279.114,3800
21,은천동,보라매동,126.9424278,37.4853086,126.9327389,37.4881456,은천동보라매동,1059,320.031,3800
22,안암동,삼선동,127.0213292,37.5858498,127.0146297,37.5908326,안암동삼선동,937,287.159,3800
23,하계1동,방학제1동,127.0725852,37.6405374,127.0407251,37.6641763,하계1동방학제1동,4757,1483.613,8300
24,합정동,명동,126.9118888,37.5516561,126.98585,37.560042,합정동명동,11014,1690.454,11800
25,오류제1동,대림제3동,126.845201,37.497009,126.8980312,37.4983347,오류제1동대림제3동,6837,1271.805,10130
26,방학제1동,풍납2동,127.0407251,37.6641763,127.1157686,37.5292584,방학제1동풍납2동,27845,2598.412,23800
27,부암동,창신제1동,126.9641,37.5924785,127.016363,37.570758,부암동창신제1동,6819,1493.154,9900
28,장지동,명일제1동,127.1354,37.4785,127.1443656,37.5512453,장지동명일제1동,11279,1753.861,13350
29,하계2동,석관동,127.0679733,37.6320048,127.061413,37.612957,하계2동석관동,3923,800.291,6200
30,종암동,청운효자동,127.0351572,37.5990075,126.9706519,37.5841367,종암동청운효자동,10949,1806.879,10900
31,중계2.3동,상계6.7동,127.0687126,37.6421829,127.0669541,37.654882,중계2.3동상계6.7동,1871,531.852,3800
32,양재2동,과천동,127.041188,37.470601,126.9954261,37.4484318,양재2동과천동,5822,855.963,7150
33,가락본동,일원본동,127.1217864,37.4955568,127.0864633,37.4833484,가락본동일원본동,3681,647.12,5100
34,면목제5동,휘경제2동,127.079511,37.5857842,127.0685788,37.5902093,면목제5동휘경제2동,1434,252.217,3800
35,고척제1동,고척제1동,126.8628603,37.5004631,126.8628603,37.5004631,고척제1동고척제1동,0,0.0,0
36,삼성동,서원동,127.062532,37.5144424,126.9313,37.4797346,삼성동서원동,19844,3438.792,21510
37,성현동,둔촌제2동,126.9481271,37.4895366,127.1419221,37.5332885,성현동둔촌제2동,23827,4425.308,27800
38,목1동,일원본동,126.8712323,37.5303777,127.0864633,37.4833484,목1동일원본동,32810,3662.908,35410
39,면목제2동,서초1동,127.07905,37.589799,127.0195082,37.4901186,면목제2동서초1동,14555,3678.747,20400
40,창신제1동,휘경제2동,127.016363,37.570758,127.0685788,37.5902093,창신제1동휘경제2동,7203,1822.738,10100
41,삼선동,충현동,127.0146297,37.5908326,126.9546863,37.5648265,삼선동충현동,9046,1505.082,10300
42,난향동,신정6동,126.918842,37.461429,126.8644471,37.5170414,난향동신정6동,10411,2510.394,14600
43,방배3동,회현동,126.9999918,37.4784409,126.9793216,37.5572864,방배3동회현동,11495,1570.099,11400
44,대림제3동,신정6동,126.8980312,37.4983347,126.8644471,37.5170414,대림제3동신정6동,5756,1077.087,8200
45,잠실2동,양평제2동,127.088559,37.5119488,126.8939535,37.5364739,잠실2동양평제2동,22369,4004.396,25200
46,이문제3동,둔촌제2동,127.065075,37.6033571,127.1419221,37.5332885,이문제3동둔촌제2동,25109,2629.537,22300
47,세곡동,수서동,127.1043555,37.4643683,127.104929,37.4889181,세곡동수서동,3774,526.331,5200
48,북아현동,충현동,126.957025,37.5595,126.9546863,37.5648265,북아현동충현동,1013,205.681,3800
49,인헌동,중앙동,126.9652628,37.4750974,126.9497133,37.4842598,인헌동중앙동,1926,581.824,3800
50,쌍문제3동,회기동,127.0278643,37.6489775,127.0553132,37.5908083,쌍문제3동회기동,11757,1763.174,12500
51,청룡동,구산동,126.9416518,37.4791304,126.9103893,37.6117455,청룡동구산동,22642,4185.499,22500
52,연희동,구산동,126.9351754,37.5739083,126.9103893,37.6117455,연희동구산동,9041,1727.146,10800
53,망우본동,신내1동,127.1014684,37.6005732,127.099538,37.605882,망우본동신내1동,1499,373.587,3800
54,방학제1동,하계1동,127.0407251,37.6641763,127.0725852,37.6405374,방학제1동하계1동,4757,1406.36,7000
55,성산제2동,서교동,126.9090061,37.568618,126.914588,37.5551015,성산제2동서교동,2189,473.929,4000
56,오류제2동,신원동,126.8395371,37.4888016,126.9273519,37.4815883,오류제2동신원동,10741,1901.197,14050
57,왕십리도선동,일신동,127.0255501,37.5678257,126.7469557,37.4845341,왕십리도선동일신동,43680,5591.719,39150
58,고척제2동,신정3동,126.8587122,37.5067055,126.8547892,37.5151685,고척제2동신정3동,2643,588.4,4400
59,개봉제2동,역곡3동,126.8565584,37.4908359,126.8068977,37.4784166,개봉제2동역곡3동,6388,1214.841,8130
60,돈암제2동,교남동,127.0105659,37.598039,126.9619364,37.5719391,돈암제2동교남동,7699,1645.847,9700
61,은천동,서원동,126.9424278,37.4853086,126.9313,37.4797346,은천동서원동,3284,1119.6,6300
62,신사제1동,역삼1동,126.9117735,37.5978445,127.0333574,37.4954841,신사제1동역삼1동,24720,4067.467,25900
63,대치1동,역삼1동,127.0567047,37.4931821,127.0333574,37.4954841,대치1동역삼1동,3334,1012.191,5600
64,신대방제1동,독산제3동,126.91005,37.488943,126.9032524,37.4751198,신대방제1동독산제3동,2365,652.277,4000
