start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
북가좌제2동,성산제2동,126.9112,37.5815,126.9090061,37.568618,북가좌제2동성산제2동,2519,495.675,4200
수서동,마천1동,127.104929,37.4889181,127.1499724,37.4960195,수서동마천1동,6806,1066.845,8500
양재1동,신정3동,127.026744,37.4716412,126.8547892,37.5151685,양재1동신정3동,26755,2438.747,28330
화곡본동,화곡제2동,126.847725,37.544075,126.854613,37.531817,화곡본동화곡제2동,1960,458.229,3800
불광제2동,원신동,126.9257389,37.6208567,126.8758486,37.6773754,불광제2동원신동,9682,1217.239,10650
구로제5동,신정7동,126.8892945,37.5001593,126.8597007,37.514393,구로제5동신정7동,5533,945.945,6700
흑석동,상도제3동,126.966612,37.5058617,126.9313793,37.4991123,흑석동상도제3동,4700,746.961,6400
독산제1동,삼각산동,126.897041,37.4702453,127.0207209,37.6151568,독산제1동삼각산동,29288,3267.499,30690
방화제3동,한강로동,126.8135628,37.5787386,126.9692332,37.5281071,방화제3동한강로동,20274,2392.009,17900
세곡동,이화동,127.1043555,37.4643683,127.004338,37.577008,세곡동이화동,18380,2375.659,17800
방학제3동,이화동,127.028036,37.6591685,127.004338,37.577008,방학제3동이화동,11086,2432.844,13900
신길제1동,영등포본동,126.9214285,37.5112667,126.9093046,37.5146826,신길제1동영등포본동,2570,451.976,4200
장지동,풍납2동,127.1354,37.4785,127.1157686,37.5292584,장지동풍납2동,10072,875.091,11170
등촌제3동,흑석동,126.847881,37.5589789,126.966612,37.5058617,등촌제3동흑석동,15846,1928.025,14800
삼양동,송천동,127.0197725,37.6250518,127.023838,37.618282,삼양동송천동,1086,257.595,3800
마장동,성수1가제2동,127.045388,37.566325,127.0443325,37.5462991,마장동성수1가제2동,2719,569.549,4300
면목제3.8동,중곡제2동,,,127.081487,37.560308,면목제3.8동중곡제2동,0,0.0,0
수유제1동,풍납2동,127.0176014,37.6300865,127.1157686,37.5292584,수유제1동풍납2동,22884,2637.993,22700
마천2동,반포4동,127.1485193,37.4968477,127.0003853,37.4974314,마천2동반포4동,21596,2398.444,23050
청파동,영종동,126.9674,37.5488,126.5315335,37.4942488,청파동영종동,52423,2855.347,47770
개봉제1동,왕십리도선동,126.8511255,37.5003318,127.0255501,37.5678257,개봉제1동왕십리도선동,30225,3094.542,26600
신대방제1동,영등포동,126.91005,37.488943,126.9106918,37.5203985,신대방제1동영등포동,4662,897.253,6500
방학제2동,압구정동,127.0351005,37.6681842,127.030713,37.530642,방학제2동압구정동,23893,3492.397,20400
쌍문제2동,안암동,127.0389254,37.6579935,127.0213292,37.5858498,쌍문제2동안암동,9786,1924.133,11300
화양동,가락2동,127.0713152,37.5465421,127.1266714,37.4987054,화양동가락2동,9837,1309.547,10300
청룡동,난향동,126.9416518,37.4791304,126.918842,37.461429,청룡동난향동,4163,610.735,5400
창제1동,남영동,127.0438683,37.6483046,126.9748403,37.5457586,창제1동남영동,16292,3336.663,19000
방이2동,공항동,127.1114868,37.5164444,126.8101437,37.5588296,방이2동공항동,33314,2608.916,28500
화곡제1동,왕십리도선동,126.841562,37.530408,127.0255501,37.5678257,화곡제1동왕십리도선동,29394,3007.028,26600
회현동,백석1동,126.9793216,37.5572864,126.7925109,37.6496787,회현동백석1동,31772,2061.24,28230
여의동,사당제2동,126.934584,37.5177232,126.9792598,37.4887323,여의동사당제2동,9311,1132.92,10000
가리봉동,신대방제2동,126.8897489,37.4825557,126.9244085,37.4984422,가리봉동신대방제2동,4233,718.947,5500
강일동,둔촌제2동,127.173909,37.5649783,127.1419221,37.5332885,강일동둔촌제2동,5597,858.791,7310
등촌제3동,안암동,126.847881,37.5589789,127.0213292,37.5858498,등촌제3동안암동,21821,2310.009,20000
상계3.4동,신촌동,127.0832665,37.6729133,126.9418114,37.5640923,상계3.4동신촌동,20262,3752.859,23400
미성동,대방동,126.9155534,37.4761761,126.92635,37.508133,미성동대방동,5436,1001.322,7200
방화제3동,풍납2동,126.8135628,37.5787386,127.1157686,37.5292584,방화제3동풍납2동,34405,3326.626,28300
양평제2동,안암동,126.8939535,37.5364739,127.0213292,37.5858498,양평제2동안암동,18563,1719.175,17200
면목본동,역삼1동,127.0874227,37.5873592,127.0333574,37.4954841,면목본동역삼1동,13215,2448.696,14900
공릉2동,구의제3동,127.083488,37.621332,127.0920204,37.5380706,공릉2동구의제3동,15268,1690.069,15290
신월2동,우장산동,126.8444512,37.5249763,126.8418849,37.5482468,신월2동우장산동,3702,586.91,5100
방화제1동,방화제1동,126.817026,37.5703659,126.817026,37.5703659,방화제1동방화제1동,0,0.0,0
성산제1동,가양제2동,126.90785,37.5634083,126.8512826,37.5673763,성산제1동가양제2동,7504,943.82,7900
응암제1동,한강로동,126.926813,37.6006884,126.9692332,37.5281071,응암제1동한강로동,11344,2433.615,13200
문래동,방화제2동,126.899466,37.517086,126.8067549,37.5666997,문래동방화제2동,12288,1650.732,12900
창신제1동,한강로동,127.016363,37.570758,126.9692332,37.5281071,창신제1동한강로동,11863,1578.754,11500
신월6동,마두1동,126.8451512,37.5180328,126.7898159,37.6558186,신월6동마두1동,20411,2218.2,20550
상계2동,의정부2동,127.0678377,37.6574727,127.0427947,37.7407861,상계2동의정부2동,12285,1611.81,13070
방배3동,공항동,126.9999918,37.4784409,126.8101437,37.5588296,방배3동공항동,22769,1990.896,20700
신길제1동,사당제1동,126.9214285,37.5112667,126.9786682,37.4830639,신길제1동사당제1동,10109,1310.47,10500
광희동,성수2가제3동,127.0050623,37.564494,127.0552645,37.5482223,광희동성수2가제3동,6386,1025.521,7600
성산제2동,목5동,126.9090061,37.568618,126.8816206,37.5371201,성산제2동목5동,5764,781.365,6700
일원1동,김포2동,127.0879629,37.491839,,,일원1동김포2동,0,0.0,0
미아동,신내1동,127.0269791,37.6270736,127.099538,37.605882,미아동신내1동,10881,1869.766,12000
방화제3동,회현동,126.8135628,37.5787386,126.9793216,37.5572864,방화제3동회현동,21637,2847.856,19200
신월2동,목5동,126.8444512,37.5249763,126.8816206,37.5371201,신월2동목5동,4436,553.835,5600
목5동,판교동,126.8816206,37.5371201,127.0986189,37.389844,목5동판교동,30704,3323.508,28130
중곡제4동,공항동,127.0894538,37.5590865,126.8101437,37.5588296,중곡제4동공항동,35395,3128.948,30200
개봉제3동,상계6.7동,126.853838,37.485993,127.0669541,37.654882,개봉제3동상계6.7동,36092,3809.519,32100
은천동,한강로동,126.9424278,37.4853086,126.9692332,37.5281071,은천동한강로동,6448,1055.541,7800
월계3동,흑석동,127.0692485,37.6210475,126.966612,37.5058617,월계3동흑석동,22681,3207.492,20800
중곡제2동,가양제3동,127.081487,37.560308,126.8605955,37.561092,중곡제2동가양제3동,27942,2954.853,26000
안암동,중앙동,127.0213292,37.5858498,126.9497133,37.4842598,안암동중앙동,17615,2517.962,17200
개봉제2동,흑석동,126.8565584,37.4908359,126.966612,37.5058617,개봉제2동흑석동,13924,2248.495,16690
행운동,구의제3동,126.9570456,37.4806541,127.0920204,37.5380706,행운동구의제3동,20773,1878.125,18100
노량진제2동,안암동,126.937352,37.508509,127.0213292,37.5858498,노량진제2동안암동,14172,2226.288,14900
길음제1동,신촌동,127.0193925,37.6104856,126.9418114,37.5640923,길음제1동신촌동,11373,1916.416,13300
독산제1동,도곡1동,126.897041,37.4702453,127.0390246,37.488238,독산제1동도곡1동,14781,2270.351,14600
독산제3동,서원동,126.9032524,37.4751198,126.9313,37.4797346,독산제3동서원동,3095,454.82,4700
공릉1.3동,공항동,127.073838,37.624874,126.8101437,37.5588296,공릉1.3동공항동,30982,3863.595,28300
등촌제3동,신내1동,126.847881,37.5589789,127.099538,37.605882,등촌제3동신내1동,29427,2526.606,24900
흑석동,주엽1동,126.966612,37.5058617,126.7632627,37.6701406,흑석동주엽1동,30735,1808.614,28130
대방동,청룡동,126.92635,37.508133,126.9416518,37.4791304,대방동청룡동,5320,963.828,6700
방학제3동,역촌동,127.028036,37.6591685,126.915114,37.6044046,방학제3동역촌동,18919,3150.097,19800
방화제3동,양주1동,126.8135628,37.5787386,127.0437813,37.7732673,방화제3동양주1동,44023,2583.919,42330
신수동,둔촌제2동,126.9351878,37.5471182,127.1419221,37.5332885,신수동둔촌제2동,24577,2114.756,21500
신정2동,신촌동,126.870679,37.5192314,126.9418114,37.5640923,신정2동신촌동,11748,1790.107,12500
강일동,구의제3동,127.173909,37.5649783,127.0920204,37.5380706,강일동구의제3동,11395,1068.695,12070
중곡제3동,거여2동,127.0801736,37.5688084,127.1468764,37.4935803,중곡제3동거여2동,14473,2074.307,14610
난곡동,신대방제2동,126.9216507,37.4709634,126.9244085,37.4984422,난곡동신대방제2동,4900,817.164,6200
신사제2동,광희동,126.9084195,37.5902796,127.0050623,37.564494,신사제2동광희동,13983,2250.231,15100
신당제6동,이화동,,,127.004338,37.577008,신당제6동이화동,0,0.0,0
삼각산동,제기제1동,127.0207209,37.6151568,,,삼각산동제기제1동,0,0.0,0
시흥제3동,야탑1동,126.9057945,37.4403095,127.130218,37.4119827,시흥제3동야탑1동,27243,2036.422,27210
신월4동,신정4동,126.8401341,37.5246218,126.8558042,37.5245455,신월4동신정4동,1641,350.82,3800
갈현제2동,둔촌제2동,126.9158385,37.6185866,127.1419221,37.5332885,갈현제2동둔촌제2동,33860,3852.093,31100
왕십리도선동,노량진제1동,127.0255501,37.5678257,126.942013,37.512308,왕십리도선동노량진제1동,14520,1603.294,13900
서원동,신월4동,126.9313,37.4797346,126.8401341,37.5246218,서원동신월4동,12315,1687.01,13710
상계6.7동,번제2동,127.0669541,37.654882,127.0387953,37.6323588,상계6.7동번제2동,5097,878.646,6500
오금동,대림제2동,126.9138,37.6674,126.8982938,37.4927521,오금동대림제2동,31833,3558.455,30450
역촌동,전농제2동,126.915114,37.6044046,127.0600375,37.5781027,역촌동전농제2동,22148,2946.8,20200
등촌제3동,신정7동,126.847881,37.5589789,126.8597007,37.514393,등촌제3동신정7동,7135,1208.514,8000
대림제2동,등촌제3동,126.8982938,37.4927521,126.847881,37.5589789,대림제2동등촌제3동,12328,1584.142,12400
역촌동,한강로동,126.915114,37.6044046,126.9692332,37.5281071,역촌동한강로동,16010,2497.084,16300
신정1동,서초3동,126.8542636,37.5185289,127.0119725,37.4836682,신정1동서초3동,20433,2995.476,20000
대림제3동,중앙동,126.8980312,37.4983347,126.9497133,37.4842598,대림제3동중앙동,7088,1028.723,8100
성산제2동,중계2.3동,126.9090061,37.568618,127.0687126,37.6421829,성산제2동중계2.3동,22821,2058.754,20600
문정2동,신흥2동,127.1108107,37.489823,127.1452691,37.4489213,문정2동신흥2동,7126,1150.051,9350
등촌제3동,신대방제2동,126.847881,37.5589789,126.9244085,37.4984422,등촌제3동신대방제2동,13328,1544.909,12300
서초3동,심곡3동,127.0119725,37.4836682,126.7870845,37.4873092,서초3동심곡3동,29644,2605.47,27470
남가좌제1동,공항동,126.9197232,37.573295,126.8101437,37.5588296,남가좌제1동공항동,12387,1790.775,12400
