,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
2726,명륜3가,진관동,126.9931,37.5875,126.9210512,37.634983,명륜3가진관동,13000,1920,0
2728,성현동,신당4동,126.9481271,37.4895366,127.014687,37.557083,성현동신당4동,12000,1740,0
2740,월계3동,신당6동,127.0692485,37.6210475,127.0194239,37.5600562,월계3동신당6동,11000,1440,0
2749,신당2동,응봉동,127.0082322,37.5542861,127.0334357,37.5531636,신당2동응봉동,3200,960,0
2772,면목3.8동,중곡제2동,127.0880603,37.5829681,127.081487,37.560308,면목3.8동중곡제2동,4300,660,0
2808,일원1동,장기본동,127.0879629,37.491839,126.6716999,37.6523061,일원1동장기본동,51000,3840,0
2837,신당6동,이화동,127.0194239,37.5600562,127.004338,37.577008,신당6동이화동,2900,780,0
2838,삼각산동,제기동,127.0207209,37.6151568,127.0378551,37.5831612,삼각산동제기동,5800,960,0
2879,이문3동,면목제5동,127.065075,37.6033571,127.079511,37.5857842,이문3동면목제5동,4500,600,0
2890,답십리3동,구의제2동,127.0512678,37.5717963,127.0899111,37.5472481,답십리3동구의제2동,5300,900,0
2892,답십리3동,양재2동,127.0512678,37.5717963,127.041188,37.470601,답십리3동양재2동,21000,1860,0
2893,답십리3동,신설동,127.0512678,37.5717963,127.0255251,37.5749343,답십리3동신설동,2800,480,0
2904,답십리4동,장지동,127.06125,37.567417,127.1354,37.4785,답십리4동장지동,21000,1740,0
2911,면목제5동,이문3동,127.079511,37.5857842,127.065075,37.6033571,면목제5동이문3동,3900,480,0
2915,인수동,장안1동,127.0106307,37.6415105,127.066375,37.567842,인수동장안1동,17000,1980,0
2923,행당제2동,제기동,127.02935,37.558208,127.0378551,37.5831612,행당제2동제기동,3700,780,0
2925,신당4동,필동,127.014687,37.557083,126.9955699,37.5601529,신당4동필동,3200,600,0
2929,면목본동,전농3동,127.0874227,37.5873592,127.0600375,37.5781027,면목본동전농3동,3200,540,0
2953,우이동,장기본동,127.0118533,37.6479523,126.6716999,37.6523061,우이동장기본동,46000,3540,0
2982,시흥제2동,상도1동,126.9148345,37.4495487,126.953089,37.4981,시흥제2동상도1동,10000,1440,0
3008,방화제2동,장기본동,126.8067549,37.5666997,126.6716999,37.6523061,방화제2동장기본동,18000,1380,0
3010,답십리4동,전농2동,127.06125,37.567417,127.0600375,37.5781027,답십리4동전농2동,3100,480,0
3018,신당6동,내곡동,127.0194239,37.5600562,127.0583103,37.4493583,신당6동내곡동,17000,1920,0
3034,강일동,신당4동,127.173909,37.5649783,127.014687,37.557083,강일동신당4동,21000,1560,0
3132,응암제1동,신당3동,126.926813,37.6006884,127.0090022,37.552479,응암제1동신당3동,12000,1800,0
3133,이문3동,흑석동,127.065075,37.6033571,126.966612,37.5058617,이문3동흑석동,24000,2520,0
3194,상도1동,신촌동,126.953089,37.4981,126.9418114,37.5640923,상도1동신촌동,12000,1740,0
3204,장안2동,하계1동,127.0706,37.578483,127.0725852,37.6405374,장안2동하계1동,8800,1140,0
3237,숭인제2동,신당1동,127.019988,37.574867,127.0145478,37.5620973,숭인제2동신당1동,1700,480,0
3247,명륜3가,이화동,126.9931,37.5875,127.004338,37.577008,명륜3가이화동,2400,540,0
3290,행당제2동,면목3.8동,127.02935,37.558208,127.0880603,37.5829681,행당제2동면목3.8동,9000,1380,0
3302,상도1동,구로제5동,126.953089,37.4981,126.8892945,37.5001593,상도1동구로제5동,8200,1320,0
3303,묵제1동,면목3.8동,127.0784729,37.6123734,127.0880603,37.5829681,묵제1동면목3.8동,4200,720,0
3325,장안1동,가락본동,127.066375,37.567842,127.1217864,37.4955568,장안1동가락본동,19000,1680,0
3527,길동,제기동,127.1426791,37.5345598,127.0378551,37.5831612,길동제기동,12000,1740,0
3541,상도제2동,상도1동,126.942296,37.5055197,126.953089,37.4981,상도제2동상도1동,1900,420,0
3545,방학제1동,흥선동,127.0407251,37.6641763,127.0306961,37.7463446,방학제1동흥선동,11000,1020,0
3577,중계4동,면목3.8동,127.0780091,37.6587275,127.0880603,37.5829681,중계4동면목3.8동,11000,1680,0
3598,이문3동,충현동,127.065075,37.6033571,126.9546863,37.5648265,이문3동충현동,12000,2040,0
3601,면목3.8동,고강본동,127.0880603,37.5829681,126.8034928,37.5167184,면목3.8동고강본동,39000,3660,0
3623,불광제2동,신당1동,126.9257389,37.6208567,127.0145478,37.5620973,불광제2동신당1동,14000,2340,0
3641,신월6동,답십리3동,126.8451512,37.5180328,127.0512678,37.5717963,신월6동답십리3동,28000,2100,0
3677,거여1동,전농3동,127.1432324,37.4969643,127.0600375,37.5781027,거여1동전농3동,19000,2400,0
3713,신당3동,도곡1동,127.0090022,37.552479,127.0390246,37.488238,신당3동도곡1동,8500,1260,0
3783,불광제1동,가능동,126.9320747,37.6103876,127.0384877,37.7505409,불광제1동가능동,21000,2160,0
3820,삼성1동,장안1동,127.062532,37.5144424,127.066375,37.567842,삼성1동장안1동,12000,1560,0
3821,수궁동,신당1동,126.8314627,37.4939422,127.0145478,37.5620973,수궁동신당1동,29000,2340,0
3827,성산제1동,제기동,126.90785,37.5634083,127.0378551,37.5831612,성산제1동제기동,16000,1860,0
