0
신협 교통약자 위해 5년간 차량 18대 기부
코레일 교통약자 위한 '맞춤형 스마트 내비게이션' 개발 착수
진주시 교통약자 바우처택시 50대 발대식 개최
신협 교통약자 위한  어부바 차량’ 기부
진주시 교통약자 위한 '바우처택시' 17일부터 본격 운행
한국철도 교통약자 위한  맞춤형 스마트 내비게이션’ 개발 착수
[뉴스1 PICK]서울시 교통약자 배려 '시옷형 주차장' 첫 운영
전주시설공단 노인 일자리로 교통약자 이동권 강화
조길형 시장 교통약자  이동권’ 행정 펼쳐
서울시 임산부 등 교통약자를 위한 '시옷 주차장' 도입 [뉴시스Pic]
신협 어부바 차량으로 교통 약자의 다리 역할
서울시 교통약자 배려 '시옷형' 공영 주차장 도입
전장연 지하철 시위     교통약자 이동권 보장하라 
오세훈표 '약자 동행'  교통사고 보행 장애인 전동휠체어 지원
노인일자리로 교통약자 이동권 증진 및 사회적 가치 실현
복권기금 제주도 교통약자 이동지원 '앞장'
서천 서면 행복택시 교통약자의 든든한 버팀목으로
전주시설공단 '교통약자 이동권' 강화
무장애 관광 무장애 디자인  이동약자를 위한 제주의 실험
[B tv 부산뉴스] 사상구 교통약자 위한 저상버스 운행
진주시 교통약자 이동편의 위한 '바우처택시' 본격 운영
교통약자 배려한다던 서울 무료셔틀버스  저녁 주말엔 멈추고 9개 구는 아예   
 천천히 걸어도 돼요  대학생이 만든 '교통 약자 배려' 디자인
일산 사회적 약자 교통안전망 구축 공조
화성시 교통사고 예방 사회적약자 자원봉사자 차량 무상점검
[들어보니] 교통약자 0 3%의 자유 | 빅벙커
통영 교통봉사대 교통약자 대상 찾아가는 교통안전교육
구미 도심속 공사현장 점자블럭 건축자재  무단 적재’   교통약자 안전 위협
'약자와 동행' 교통분야부터 시동
광주혁신추진위 소상공인 지원 교통약자 이동권 보장 권고
코오롱그룹 '첨단소재' 등 5년 4조 투자 '취업약자' 채용확대도
대전도시철도1호선 교통약자 하이패스형 개찰구 전국 첫 도입
전남자치경찰-티맵 '교통약자 안전 확보' 업무협약
부산시 교통약자 전화 상담에 어르신 배치 지자체 처음
전북경찰청 교통약자 위한 교통궁금증 홍보영상 제작
용인도시공사 교통약자 투표 차량 지원
대구 교통약자 택시 나드리콜 4차순환도로 통행료 지원
전북경찰 교통약자 사고예방 영상 홍보
동양레이더/교통약자 국가유공자 대상 차량 무료 운행
파주시 '교통약자 이동편의 증진위원회' 개최
부산시 교통약자 위해 저상버스 171대 늘린다
평택도시공사 교통약자 콜택시 운전원 비대면 음주측정 시행
시설의 거주인 교통 약자는 어떻게 투표하고 있을까?
광명도시공사  6 1지방선거 교통약자 이동지원 서비스 제공
교통약자 상담 업무와 노인 일자리 사업 연계
김장호 구미시장 후보  지역 교통약자들 이동권 보장할 것 
[AI티타임] 교통약자를 위한 AI 기술 뭐 없을까?
[구미시장] 김장호 국민의힘 후보   교통약자 위한 '100원 버스' 공약 발표
시 도선관위 선거약자 교통편의 나선다
