,no
8239,238
8188,238
1475,238
8165,237
5764,236
4392,235
7623,235
4844,234
8054,233
9135,233
4854,232
3568,231
3580,231
4992,230
9165,230
8237,230
5803,230
9150,230
5456,227
3576,227
3581,227
8036,227
4842,226
5437,225
4996,225
3659,225
9550,225
9104,224
5448,223
3654,223
3592,223
5828,222
9141,221
8171,221
3803,221
8183,219
8151,218
8173,218
5836,217
3594,216
8231,215
4734,214
3602,214
3606,214
5461,214
3610,213
9154,213
3600,212
5813,212
5470,212
8068,211
8295,211
9151,210
8042,208
8210,207
3323,206
4966,206
3674,206
3642,205
3574,205
7957,205
8011,203
9158,202
3698,202
5438,201
9166,201
8567,200
8154,199
5778,199
2264,199
5451,199
1605,198
8038,197
4794,197
1603,196
8003,196
5804,195
3571,194
5463,194
3562,194
8264,194
5815,194
5837,193
5823,193
8136,192
8269,191
8260,191
5447,190
5469,189
5779,189
8195,189
8209,189
5845,187
3586,186
9148,186
8196,186
5443,186
8271,185
8167,185
9163,184
3258,181
3617,181
5858,181
9143,181
8015,181
7634,180
5449,180
5459,179
3565,179
5765,178
1614,178
5781,178
3596,178
5723,176
3223,175
1627,175
9147,174
5812,173
3609,173
8176,172
3017,172
5472,172
5802,172
9145,172
8202,171
5467,170
3604,170
8062,170
5844,170
8159,169
3589,168
6966,167
5773,166
5857,166
5811,166
5454,165
3216,165
9140,165
5775,164
9157,164
8145,164
1625,162
4994,162
4331,162
8254,162
8072,162
5462,162
8012,161
8274,160
5458,159
1628,158
8035,158
8252,157
3673,157
5782,157
1602,156
5822,156
5855,155
8272,155
5464,155
5473,155
8022,154
8215,153
1620,153
5436,153
5810,152
8261,152
7573,152
8249,151
5840,151
5839,150
9817,150
5474,150
3710,149
4978,148
4744,148
8291,148
3190,148
5439,148
3627,147
5442,147
8206,146
5814,146
5842,146
5457,144
3829,143
8037,142
5771,141
8240,141
8263,140
8259,140
8166,140
1617,139
3587,139
5440,139
3206,139
9020,138
5460,138
5776,138
5453,138
5846,137
1622,137
8061,136
8256,136
5763,135
5767,134
3684,134
8058,134
3254,134
4843,134
8211,133
5446,133
5774,132
5769,132
5841,130
1630,129
9149,128
5770,128
8217,128
1607,127
5465,126
5435,126
7369,125
8200,125
7701,125
3601,125
5766,124
5820,124
8228,123
5768,123
5468,121
3616,121
8026,121
5466,118
5455,117
8019,116
1633,115
6027,115
5441,115
8214,114
5452,114
5471,113
3682,113
5444,112
5831,112
8247,111
1631,110
3607,109
1621,109
3645,108
5445,107
5780,106
1433,106
8185,106
704873,106
3612,105
3681,104
3657,104
9152,104
8268,103
3705,101
6780,100
5848,99
5850,98
1611,98
704898,97
1458,97
3924,97
8149,96
8013,95
1634,94
8658,94
3692,93
3625,92
3289,91
4967,91
3359,90
8053,90
8198,89
5849,88
8258,87
5801,86
2885,85
5854,85
3837,84
3233,83
5856,82
5816,81
5824,79
5809,79
8266,79
5847,79
3276,78
1159,78
8197,78
6472,76
99991,76
1447,75
5859,75
3239,75
704887,75
704886,75
6521,74
5852,73
6770,73
5688,73
5835,70
6176,70
3438,70
3183,69
8243,69
704871,69
1431,69
3711,69
5829,68
4870,67
5851,66
1419,66
6774,66
704859,66
704870,66
1448,65
8262,64
5821,64
704888,64
3871,63
8153,63
5827,63
5853,62
9164,62
1425,61
3715,60
704865,60
6742,59
6752,59
8192,59
5818,58
5843,58
5819,57
6756,56
6741,56
1428,56
8086,56
8057,56
704868,56
8079,55
6749,55
1414,53
704854,53
6772,53
8420,52
6781,50
1418,50
5833,50
6771,50
3133,49
704858,49
6753,49
2784,48
8711,48
6776,48
5806,47
1412,47
704852,46
9146,45
6764,45
1441,44
704881,44
6773,43
8028,42
5832,42
8205,42
8284,42
1455,41
3154,40
8251,39
704895,39
6782,39
1415,38
704855,38
4654,38
6750,38
3212,38
6779,37
6775,37
8213,37
3618,35
8250,35
2869,34
5825,33
2232,28
4017,28
5808,28
5860,27
4183,27
3236,23
8336,23
3410,21
4409,21
1434,20
704874,20
8129,19
3443,17
6746,17
8144,16
8290,16
7918,15
3641,14
9632,13
3269,12
6152,12
3213,11
8219,11
8024,10
3634,10
8248,9
3123,9
4102,8
5563,8
3260,8
8193,7
8257,7
8174,7
8275,6
2191,5
8207,5
2238,5
3934,5
6734,5
3218,5
8296,5
3658,4
8056,4
8017,4
3599,4
8084,3
8253,3
8293,3
6786,3
9995,2
3253,2
6754,2
1268,1
8199,1
5942,1
4985,1
8218,1
6063,1
6784,1
