,start,end,startlat,startlng,endlat,endlng,direction,sentence,duration,distance
2655,답십리3동,춘궁동,127.0512678,37.5717963,127.19415,37.522175,답십리3동춘궁동,답십리3동에서 춘궁동,35,22
2671,공덕동,장기본동,126.960025,37.550192,126.6716999,37.6523061,공덕동장기본동,공덕동에서 장기본동,49,32
2674,신정2동,상도1동,126.870679,37.5192314,126.953089,37.4981,신정2동상도1동,신정2동에서 상도1동,26,11
2684,동선동,장안1동,127.0203666,37.5939824,127.066375,37.567842,동선동장안1동,동선동에서 장안1동,21,8.3
2726,명륜3가,진관동,126.9931,37.5875,126.9210512,37.634983,명륜3가진관동,명륜3가에서 진관동,32,13
2728,성현동,신당4동,126.9481271,37.4895366,127.014687,37.557083,성현동신당4동,성현동에서 신당4동,29,12
2740,월계3동,신당6동,127.0692485,37.6210475,127.0194239,37.5600562,월계3동신당6동,월계3동에서 신당6동,24,11
2749,신당2동,응봉동,127.0082322,37.5542861,127.0334357,37.5531636,신당2동응봉동,신당2동에서 응봉동,16,3.2
2772,면목3.8동,중곡제2동,127.0880603,37.5829681,127.081487,37.560308,면목3.8동중곡제2동,면목3.8동에서 중곡제2동,11,4.3
2808,일원1동,장기본동,127.0879629,37.491839,126.6716999,37.6523061,일원1동장기본동,일원1동에서 장기본동,64,51
2837,신당6동,이화동,127.0194239,37.5600562,127.004338,37.577008,신당6동이화동,신당6동에서 이화동,13,2.9
2838,삼각산동,제기동,127.0207209,37.6151568,127.0378551,37.5831612,삼각산동제기동,삼각산동에서 제기동,16,5.8
2879,이문3동,면목제5동,127.065075,37.6033571,127.079511,37.5857842,이문3동면목제5동,이문3동에서 면목제5동,10,4.5
2890,답십리3동,구의제2동,127.0512678,37.5717963,127.0899111,37.5472481,답십리3동구의제2동,답십리3동에서 구의제2동,15,5.3
2892,답십리3동,양재2동,127.0512678,37.5717963,127.041188,37.470601,답십리3동양재2동,답십리3동에서 양재2동,31,21
2893,답십리3동,신설동,127.0512678,37.5717963,127.0255251,37.5749343,답십리3동신설동,답십리3동에서 신설동,8,2.8
2904,답십리4동,장지동,127.06125,37.567417,127.1354,37.4785,답십리4동장지동,답십리4동에서 장지동,29,21
2911,면목제5동,이문3동,127.079511,37.5857842,127.065075,37.6033571,면목제5동이문3동,면목제5동에서 이문3동,8,3.9
2915,인수동,장안1동,127.0106307,37.6415105,127.066375,37.567842,인수동장안1동,인수동에서 장안1동,33,17
2923,행당제2동,제기동,127.02935,37.558208,127.0378551,37.5831612,행당제2동제기동,행당제2동에서 제기동,13,3.7
2925,신당4동,필동,127.014687,37.557083,126.9955699,37.5601529,신당4동필동,신당4동에서 필동,10,3.2
2929,면목본동,전농3동,127.0874227,37.5873592,127.0600375,37.5781027,면목본동전농3동,면목본동에서 전농3동,9,3.2
2953,우이동,장기본동,127.0118533,37.6479523,126.6716999,37.6523061,우이동장기본동,우이동에서 장기본동,59,46
2982,시흥제2동,상도1동,126.9148345,37.4495487,126.953089,37.4981,시흥제2동상도1동,시흥제2동에서 상도1동,24,10
3008,방화제2동,장기본동,126.8067549,37.5666997,126.6716999,37.6523061,방화제2동장기본동,방화제2동에서 장기본동,23,18
3010,답십리4동,전농2동,127.06125,37.567417,127.0600375,37.5781027,답십리4동전농2동,답십리4동에서 전농2동,8,3.1
3018,신당6동,내곡동,127.0194239,37.5600562,127.0583103,37.4493583,신당6동내곡동,신당6동에서 내곡동,32,17
3034,강일동,신당4동,127.173909,37.5649783,127.014687,37.557083,강일동신당4동,강일동에서 신당4동,26,21
3132,응암제1동,신당3동,126.926813,37.6006884,127.0090022,37.552479,응암제1동신당3동,응암제1동에서 신당3동,30,12
3133,이문3동,흑석동,127.065075,37.6033571,126.966612,37.5058617,이문3동흑석동,이문3동에서 흑석동,42,24
3194,상도1동,신촌동,126.953089,37.4981,126.9418114,37.5640923,상도1동신촌동,상도1동에서 신촌동,29,12
3204,장안2동,하계1동,127.0706,37.578483,127.0725852,37.6405374,장안2동하계1동,장안2동에서 하계1동,19,8.8
3237,숭인제2동,신당1동,127.019988,37.574867,127.0145478,37.5620973,숭인제2동신당1동,숭인제2동에서 신당1동,8,1.7
3247,명륜3가,이화동,126.9931,37.5875,127.004338,37.577008,명륜3가이화동,명륜3가에서 이화동,9,2.4
3290,행당제2동,면목3.8동,127.02935,37.558208,127.0880603,37.5829681,행당제2동면목3.8동,행당제2동에서 면목3.8동,23,9
3302,상도1동,구로제5동,126.953089,37.4981,126.8892945,37.5001593,상도1동구로제5동,상도1동에서 구로제5동,22,8.2
3303,묵제1동,면목3.8동,127.0784729,37.6123734,127.0880603,37.5829681,묵제1동면목3.8동,묵제1동에서 면목3.8동,12,4.2
3325,장안1동,가락본동,127.066375,37.567842,127.1217864,37.4955568,장안1동가락본동,장안1동에서 가락본동,28,19
3527,길동,제기동,127.1426791,37.5345598,127.0378551,37.5831612,길동제기동,길동에서 제기동,29,12
3541,상도제2동,상도1동,126.942296,37.5055197,126.953089,37.4981,상도제2동상도1동,상도제2동에서 상도1동,7,1.9
3545,방학제1동,흥선동,127.0407251,37.6641763,127.0306961,37.7463446,방학제1동흥선동,방학제1동에서 흥선동,17,11
3577,중계4동,면목3.8동,127.0780091,37.6587275,127.0880603,37.5829681,중계4동면목3.8동,중계4동에서 면목3.8동,28,11
3598,이문3동,충현동,127.065075,37.6033571,126.9546863,37.5648265,이문3동충현동,이문3동에서 충현동,34,12
3601,면목3.8동,고강본동,127.0880603,37.5829681,126.8034928,37.5167184,면목3.8동고강본동,면목3.8동에서 고강본동,61,39
3623,불광제2동,신당1동,126.9257389,37.6208567,127.0145478,37.5620973,불광제2동신당1동,불광제2동에서 신당1동,39,14
3641,신월6동,답십리3동,126.8451512,37.5180328,127.0512678,37.5717963,신월6동답십리3동,신월6동에서 답십리3동,35,28
3677,거여1동,전농3동,127.1432324,37.4969643,127.0600375,37.5781027,거여1동전농3동,거여1동에서 전농3동,40,19
3713,신당3동,도곡1동,127.0090022,37.552479,127.0390246,37.488238,신당3동도곡1동,신당3동에서 도곡1동,21,8.5
3783,불광제1동,가능동,126.9320747,37.6103876,127.0384877,37.7505409,불광제1동가능동,불광제1동에서 가능동,36,21
3820,삼성1동,장안1동,127.062532,37.5144424,127.066375,37.567842,삼성1동장안1동,삼성1동에서 장안1동,26,12
3821,수궁동,신당1동,126.8314627,37.4939422,127.0145478,37.5620973,수궁동신당1동,수궁동에서 신당1동,39,29
3827,성산제1동,제기동,126.90785,37.5634083,127.0378551,37.5831612,성산제1동제기동,성산제1동에서 제기동,31,16
3840,답십리3동,상계8동,127.0512678,37.5717963,127.0515874,37.6667854,답십리3동상계8동,답십리3동에서 상계8동,28,14
