index,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
2367,이문3동,이문2동,127.065075,37.6033571,127.065075,37.6033571,이문3동이문2동,0,0.0,0
12708,전농3동,전농2동,127.0600375,37.5781027,127.0600375,37.5781027,전농3동전농2동,0,0.0,0
14661,하계2동,이문3동,127.0679733,37.6320048,127.065075,37.6033571,하계2동이문3동,0,0.0,0
14708,장안1동,신촌동,127.066375,37.567842,126.9418114,37.5640923,장안1동신촌동,0,0.0,0
14723,도림동,의정부1동,126.89595,37.509475,127.0475771,37.7464356,도림동의정부1동,0,0.0,0
14736,면목3.8동,창제5동,127.0880603,37.5829681,127.0436793,37.6563436,면목3.8동창제5동,0,0.0,0
14789,신당2동,이화동,127.0082322,37.5542861,127.004338,37.577008,신당2동이화동,0,0.0,0
14798,안암동,의정부1동,127.0213292,37.5858498,127.0475771,37.7464356,안암동의정부1동,0,0.0,0
14799,신당3동,서초3동,127.0090022,37.552479,127.0119725,37.4836682,신당3동서초3동,0,0.0,0
14816,신당4동,회현동,127.014687,37.557083,126.9793216,37.5572864,신당4동회현동,0,0.0,0
14820,장안1동,서초2동,127.066375,37.567842,127.02496,37.49208,장안1동서초2동,0,0.0,0
14834,독산제1동,답십리4동,126.897041,37.4702453,127.06125,37.567417,독산제1동답십리4동,0,0.0,0
14993,답십리4동,답십리3동,127.06125,37.567417,127.0512678,37.5717963,답십리4동답십리3동,0,0.0,0
15000,신당6동,신사제1동,127.0194239,37.5600562,126.9117735,37.5978445,신당6동신사제1동,0,0.0,0
15042,역삼1동,제기동,127.0333574,37.4954841,127.0378551,37.5831612,역삼1동제기동,0,0.0,0
15047,장안1동,잠실2동,127.066375,37.567842,127.088559,37.5119488,장안1동잠실2동,0,0.0,0
15061,상도1동,한강로동,126.953089,37.4981,126.9692332,37.5281071,상도1동한강로동,0,0.0,0
15114,신당1동,광희동,127.0145478,37.5620973,127.0050623,37.564494,신당1동광희동,0,0.0,0
15120,방배3동,장안1동,126.9999918,37.4784409,127.066375,37.567842,방배3동장안1동,0,0.0,0
15133,전농3동,용두동,127.0600375,37.5781027,127.0372011,37.5758884,전농3동용두동,0,0.0,0
15136,전농3동,남영동,127.0600375,37.5781027,126.9748403,37.5457586,전농3동남영동,0,0.0,0
15151,신당6동,수서동,127.0194239,37.5600562,127.104929,37.4889181,신당6동수서동,0,0.0,0
15157,이문3동,송포동,127.065075,37.6033571,126.7355113,37.6714524,이문3동송포동,0,0.0,0
15177,구산동,장안2동,126.9103893,37.6117455,127.0706,37.578483,구산동장안2동,0,0.0,0
15189,서림동,신당4동,126.9349995,37.4749956,127.014687,37.557083,서림동신당4동,0,0.0,0
15199,상봉제1동,장안2동,127.0872004,37.5998799,127.0706,37.578483,상봉제1동장안2동,0,0.0,0
15221,상도1동,미성동,126.953089,37.4981,126.9155534,37.4761761,상도1동미성동,0,0.0,0
15229,답십리4동,자양제3동,127.06125,37.567417,127.072913,37.533842,답십리4동자양제3동,0,0.0,0
15289,상도1동,상암동,126.953089,37.4981,126.8946875,37.578325,상도1동상암동,0,0.0,0
15295,전농3동,진관동,127.0600375,37.5781027,126.9210512,37.634983,전농3동진관동,0,0.0,0
15315,면목3.8동,제기동,127.0880603,37.5829681,127.0378551,37.5831612,면목3.8동제기동,0,0.0,0
15335,장안1동,상봉제2동,127.066375,37.567842,127.0808518,37.592892,장안1동상봉제2동,0,0.0,0
15362,중계1동,전농3동,127.0775275,37.6525986,127.0600375,37.5781027,중계1동전농3동,0,0.0,0
15374,서초2동,이문3동,127.02496,37.49208,127.065075,37.6033571,서초2동이문3동,0,0.0,0
